Name,img,description
AS Productions,https://se-infra-imageserver2.azureedge.net/clink/images/d402f7ef-bc7a-4b61-a014-69c64b0a94981727d33d-63aa-4b6b-ac7c-2116eaa23689.jpg?preset=med-sq,"The mission of AS Productions is to provide a culture of fun, spirit and involvement on campus through entertaining and educational events and activities for students. The program's offerings support the strategic priorities of the Associated Students and the University, and enrich the university experience and campus life. Programming includes: musical performances, indoor and outdoor movies, motivational speakers, seasonal events, and game nights."
AS Sustainability,https://se-infra-imageserver2.azureedge.net/clink/images/2fca73f5-0652-4f30-b49b-a4a282fe8c2292facb7a-1321-4983-b77f-508bf31d2440.png?preset=med-sq,"The goal of the AS Sustainability Program is to educate, promote, and implement sustainable practices throughout the Associated Students. The program provides funding opportunities for student initiated projects with sustainable themes, and facilitates an internship program through which students gain meaningful experience by advancing sustainability within the AS and educating the campus community on sustainability issues. Programming includes workshops on composting and organic gardening, sustainability tours, environmental education for classrooms, reusable dish programs for staff and students and more. You can contact as_sustainability@csuchico.edu for more information regarding our program."
Asian & Pacific Islander Council,https://se-infra-imageserver2.azureedge.net/clink/images/9bfce436-c9f5-4020-a59f-6f4451595f8278169874-b6b9-4590-a36f-47bec52cc463.jpg?preset=med-sq,"The Asian & Pacific Islander (API) Council is committed to promoting the API culture by creating a supportive family atmosphere endearing to positive life and learning through API students, faculty, staff and community involvement."
"Associated General Contractors, Student Chapter",https://se-infra-imageserver2.azureedge.net/clink/images/ea043c9d-8a63-4f2b-a621-2e9025587c8939d1117b-31a4-457c-80cb-a06fa30c138b.jpg?preset=med-sq,"The mission of the Chico State AGC Student Chapter is to provide its members resources and opportunities for industry relationships, professional development, community service and club camaraderie. This student chapter is passionate about our industry and strives to share, encourage, and resource you for a successful career."
Associated Students,https://se-infra-imageserver2.azureedge.net/clink/images/958fa3e1-7108-4187-adeb-32ef6be2b81beae1b8e9-1b63-44bd-b59c-3145eb2a40b1.png?preset=med-sq,"The Bell Memorial Union at CSU, Chico is the ideal setting for your event. With exceptional facilities and professional staff, it has earned the well-deserved reputation as one of the area's premier event facilities."
Associated Students Dining Services,https://se-infra-imageserver2.azureedge.net/clink/images/7721fce7-4874-4acd-b04f-4383c3bc08dace00e2f4-7163-4b9b-b7ba-8ee79b1c255a.jpg?preset=med-sq,"FRESH FOOD FUELS STUDENT SUCCESS! A.S. Dining Services is committed to sustainable food purchases, recycling and waste reduction practices, plant-based packaging and materials, and utilizing energy-efficient appliances. The Associated Students Dining Service is focused on serving you healthy, convenient, sustainable food throughout campus. At every dining or retail location you'll find a variety of delicious options, and always at affordable prices. AS Dining operates Sutter Dining the exclusive residential dining hall on campus along with seven retail locations, including two convenience stores (Butte and Holt Station), a centrally-located food court (Marketplace Cafe), two coffee shops (Creekside and Common Grounds), and one eco-friendly market (Urban Roots)."
Association for Computing Machinery,https://se-infra-imageserver2.azureedge.net/clink/images/5b4d2cfb-819b-4abf-8481-47cfda0fd3216ffed3cc-92ea-4102-b32d-ac08b29ec777.jpg?preset=med-sq,"ACM, the world’s largest educational and scientific computing society, delivers resources that advance computing as a science and a profession. ACM provides the computing field's premier Digital Library and serves its members and the computing profession with leading-edge publications, conferences, and career resources. ACM's CSUC chapter focuses largely on solving programming problems and examining algorithms in a fun and comfortable setting so attendees can be better prepared to think outside the box during technical interviews, as well as throughout their future careers."
Association for Women in Business,https://se-infra-imageserver2.azureedge.net/clink/images/87ae21d9-8b22-4d50-a4d2-f4a5a2dc0eb861189e3e-0dbf-4ee7-80e9-e35affb02b9b.png?preset=med-sq,"Our Mission is to empower women through networking and education to take on leadership roles. We provide opportunities for personal growth and advancements in diverse occupations. Most importantly, we strive to achieve equality for women in business."
Audio Engineering Society,https://se-infra-imageserver2.azureedge.net/clink/images/65ddbb28-778b-4734-906b-d221411c34f0dd1f87ac-7d44-4aac-a120-fa1c1d50ce71.jpg?preset=med-sq,"The Audio Engineering Society is a global organization dedicated to the diffusion and increase of educational and scientific knowledge in audio engineering, the promotion and advancement of this science and its allied arts in both theoretical and practical application."
Ballroom Dance Club,https://se-infra-imageserver2.azureedge.net/clink/images/e429fa7f-ebcb-415f-aa87-4b7fe96c8e6bdc50d3b1-5125-41a9-9a63-e4ba00095b99.jpg?preset=med-sq,"Our mission is to promote, foster, and provide opportunities for participation in and the advancement of ballroom dance and it's related styles. We also wish to promote a healthy and safe community whom of which seek to enjoy the art of dance."
Baseball,https://se-infra-imageserver2.azureedge.net/clink/images/ff28b439-7716-4e40-9d88-76a13a5736fbca04cf13-37a8-48cb-9397-dfd4a1b6440d.jpeg?preset=med-sq,The Chico State Baseball Club is a member of the National Club Baseball Association (NCBA) and is recognized by Chico State. The purpose of the club is to give Chico State students the opportunity to play competitive and organized baseball while representing their university and competing against other college club baseball teams.
Black Student Union,https://se-infra-imageserver2.azureedge.net/clink/images/e0c1b874-6617-416d-acbb-465d3bc4cc85142a1b05-a523-415f-b0a1-1e5b048fdc2e.png?preset=med-sq,"The Black Student Union is a student run organization dedicated to the establishment of a constructive voice for African American students on the campus of the University and the city of Chico. The Black Student Union focuses on the educational and intellectual advancement of all students, while encouraging cultural awareness, leadership development, knowledge of current issues, and building a robust alliance with the University administration and other black student organizations on campus and in the community at large."
Business Information Systems Society,https://se-infra-imageserver2.azureedge.net/clink/images/37143704-5fc9-498d-98eb-cfcc053a92f5dadaaf6e-cd9a-493b-a6af-dc80b353daba.jpg?preset=med-sq,"Our Mission is to provide students with a way to gain information about industry leaders by meeting directly with company representatives. During our meetings we have guest speakers that could be faculty, industry leaders, company recruiters, etc… This gives our members a chance to speak with our guests before and after each presentation. Topics covered range from employment opportunities, information on that particular companies, interviewing and resume techniques, course selection and up coming events in the academic world. The BIS Society is about networking, learning and having fun."
California Nursing Students Association,https://se-infra-imageserver2.azureedge.net/clink/images/a5163d3c-7a81-4f7c-9931-695a5b40566fa980a67b-fa8f-4824-ad33-173208c7a95a.jpg?preset=med-sq,"Membership in a professional association is a seal of approval in many fields. Paying the dues and becoming involved demonstrates an extra level of dedication and investment into your profession. The California Nursing Student Association, which is a subsidiary of the National Student Nurse's Association, is the ""professional association"" for you as a nursing student in California. This organization provides nursing students, and pre-nursing students with the tools necessary to transition from a nursing student into a professional nurse by practicing leadership, activism, and advocacy. The Chico Nursing Student's Association is a chapter of the California Nursing Student's Association. You may read more about CNSA at: http://www.cnsa.org/ http://www.nsna.org/ Find out how to get involved through any of these avenues! https://www.facebook.com/csucnursing https://www.facebook.com/groups/chicostatenursing/ Instagram: @chicostatenursing Website coming soon... Become a member here: http://www.nsna.org/Membership.aspx"
California Waterfowl Association (CWA),https://se-infra-imageserver2.azureedge.net/clink/images/3f6d7e1f-3258-406e-9636-ed9c2a28a022c0288589-59cf-406a-9181-85696d71785d.jpg?preset=med-sq,"The CSU, Chico Chapter of the California Waterfowl Association (CWA) welcomes all students interested in waterfowl ecology as well as the practical application of waterfowl and wetland conservation strategies. Organization activities will include waterfowl identification workshops, guest lectures, and most importantly, hands-on field experience with waterfowl and wetland biologists and managers."
CALMENA,https://se-infra-imageserver2.azureedge.net/clink/images/24d916f2-9f06-45eb-a6c8-c5fe8e3b9c4518e92e10-0ef2-41ed-a8d0-9a13edb4c78c.jpg?preset=med-sq,"Through scholarship, dialogue, networking, and camaraderie, we promote the advancement of creativity and adaptive leadership in all academic fields pertaining to the greater Middle East and North Africa, looking to both the past and present to equip the leaders of our future."
Career Center,https://se-infra-imageserver2.azureedge.net/clink/images/062e002c-1d15-4769-b0b5-9cc724aab3e2e4de9d5c-8dba-4f17-b438-b999c0efef56.jpg?preset=med-sq,"The Chico State Career is your destination for careers, internships and part-time jobs!"
Center for Healthy Communities,https://se-infra-imageserver2.azureedge.net/clink/images/41e4abab-fa47-4b99-a8e9-00341913ae9610a01426-698f-40c9-9c05-dfeee23bd101.jpg?preset=med-sq,"The Center for Healthy Communities (CHC) is a leader in nutrition education, food security and physical activity programs and policies addressing the needs of diverse populations locally, regionally, and internationally. CHC provides the infrastructure and coordination of shared resources for interdisciplinary student-faculty-staff research and opportunities for civic engagement and service learning in our communities."
Central Americans for Empowerment,https://se-infra-imageserver2.azureedge.net/clink/images/a3c01f19-5164-4ba2-83f8-b986d5e47fcb66f522d4-b8a2-4248-b9b8-3c10202e1bd3.jpg?preset=med-sq,"The purpose of CAFE is to cater to students who identify as Central American in an effort to increase visibility and representation of the diversity within the Latinx community at CSUC. In addition, we seek to provide a space where we can build community and discuss some of the most pressing social issues facing the Central American region."
Ceramics Art Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/b5a492e7-4f80-4ad9-8620-28cba48a8d404fe501d0-2c57-4b68-b07c-b08adb193555.jpg?preset=med-sq,"CASA (Ceramics Art Student Association) is a club that brings people together with a shared interest in ceramic art. Generally reserved for those who are CSU students, CASA has fundraising sales several times per year to finance travel to two major American ceramic conferences: NCECA (National Council on Education of Ceramic Arts), which switches host cities every year; in 2020 NCECA will be in Richmond, VA, (in 2019 it was held in Minneapolis, MN), and CCACA (California Conference for the Advancement of Ceramic Art) which is held annually in Davis, CA. At said conferences are: demos, lectures, presentations, exhibitions, and a variety of other events that promote the advancement of ceramic art, and are truly a great benefit to CSU ceramic students."
Cheer Team,https://se-infra-imageserver2.azureedge.net/clink/images/bdd05b4b-fca3-4f67-b9cf-b023a2ca3e83d70cc233-1493-4a2d-9ab2-8d2a3e638f26.png?preset=med-sq,"Supporting as many California State University, Chico athletic events/activities as possible. Promoting a game day atmosphere for the university. Connecting with the community. Competing at the collegiate cheer level (USA, NCA, & UCA competitions)."
Chi Alpha CSU Chico,https://se-infra-imageserver2.azureedge.net/clink/images/00ee7ba4-12b2-471d-85da-0e2653947cc1b88185e6-29fd-490f-a7a3-d50fa5b0f240.jpg?preset=med-sq,"Chi Alpha is a campus ministry that helps students come to know the love that God has for them through the saving work of Christ Jesus. It is a cross denomination Christian group that meets together, helping each other grow in a personal relationship with the Lord Jesus by the inspiration of the Holy Spirit and fellowship of one another."
Chico Anthropological Society,https://se-infra-imageserver2.azureedge.net/clink/images/40fc22f9-3a3a-40e2-992e-685eb77b73ecc0b09f74-7d75-4e99-a207-22e5e2a91704.png?preset=med-sq,"This page is designed to keep everyone updated on what's going on with the Chico Anthropological Society. You don't have to be an Anthropology major to come to and learn about our events, just show up ready to have fun! One of the many goals behind CAS is to provide an opportunity for the community to be more anthropologically aware. (After all, this is an anthropologically driven club.) Also, we do not assume that everyone knows what Anthropology is. Anthropological study and training provide the knowledge, skills and tools to work with people, study the past, and shape the future. Anthropologists work in practically every environment and setting imaginable. They can be found in corporations, all levels of government, educational institutions and non-profit associations. Anthropologists even work in disaster areas, including Ground Zero in New York and the Gulf Coast in the aftermath of hurricane Katrina."
Chico Barbell Club,https://se-infra-imageserver2.azureedge.net/clink/images/cc9a7a83-930f-46c4-a9b9-f1ff7bed005822a46c47-5725-41c0-9307-af2e2c70625c.jpg?preset=med-sq,CBC is an organization centered around building all facets of strength through barbell sports. We aim to educate and support fellow students in all types of barbell sports.
Chico For Animal Rights,https://se-infra-imageserver2.azureedge.net/clink/images/a5b8b8ab-6b65-4d21-83a3-0eac90b591f0c3436efb-3a76-4244-8ea0-478e1fc3665e.jpg?preset=med-sq,"Established in fall of 2007, Chico for Animal Rights (CFAR) is a California State University, Chico-based animal rights student club. CFAR uses various educational tools to teach the public and the students of Chico State about animals, the way they are treated, and what can be done to establish and promote basic rights for them. Additionally, our group attempts to make changes on the Chico State campus with the hope of making the lives of animals better. We are also here if you would like information about becoming (or staying!) vegan!"
Chico Health Administration Club,https://se-infra-imageserver2.azureedge.net/clink/images/f905ab99-7dd4-4af5-995d-517d74ced1c39b1232cd-3999-4f7d-bc18-42ba67ff9f2f.png?preset=med-sq,We bring speakers to our meetings to talk to the members about their own Health Care education and experiences.
Chico Performances,https://se-infra-imageserver2.azureedge.net/clink/images/02de2dd4-79cb-472c-8a51-c5649eba13420b8e3164-5c7d-4b7b-9a8d-f2f8e0f27b61.png?preset=med-sq,"Chico Performances hosts speakers, shows, musicians, lecturers, performers and more!  Tickets are on sale now, and the current show list can be found at https://www.csuchico.edu/upe/performance/."
Chico Printmaking Club,https://se-infra-imageserver2.azureedge.net/clink/images/868fd150-13d1-4c07-89b0-d67e6faaa98724f8f909-8646-436b-9a5d-e609a61b0aa4.png?preset=med-sq,"CSUC Printmaking Association is a student-run organization that unites and builds the community of printmakers within the Department of Art & Art History. Our organization holds national exchanges, events and sales that allow for collaboration between the printmaking world and the CSUC's community, as well as the city of Chico."
Chico Rocketry and Aerospace Club,https://se-infra-imageserver2.azureedge.net/clink/images/cf96cfa9-f9d2-48c3-903c-659f36151cd4ac00e3ed-a549-4eb6-82a3-f36bda5755ff.JPG?preset=med-sq,"We are students from all disciplines interested in the exploration of space. We research, design and manufacture high powered rockets and related systems. Our goals include: -Participate in international level competitions -Attend industry conferences -Diversify CSU Chico engineering by providing an aerospace component -Bring visibility to CSU Chico by competing against teams from other universities -Combine multiple academic disciplines into exciting projects -Have fun building!"
Chico Snow Team & Club,https://se-infra-imageserver2.azureedge.net/clink/images/bd4462b2-8b85-4475-8cc9-cfe9c644cef6f875ed3d-cad3-41a5-aed0-3baacd7a5549.jpg?preset=med-sq,What is good shredders!
Chico State 3D Printing and Additive Manufacturing Club,https://se-infra-imageserver2.azureedge.net/clink/images/e51e6fda-a4ef-4c75-9b16-5cbcb805b316b7b78045-3bca-4611-bcc5-3a96f509bd92.jpg?preset=med-sq,Our club is focused on the teaching and learning about the applications of 3D printing and additive manufacturing. We offer 3D printing services and workshops on the subject of 3D printing and additive manufacturing. All majors welcome!
Chico State Basic Needs Project,https://se-infra-imageserver2.azureedge.net/clink/images/6639a121-c112-430f-8b94-4160f26b0436687205ae-0732-499d-9b7f-3503c8d4dcc7.jpg?preset=med-sq,"The Chico State Basic Needs is a collaborative effort of campus and community-based programs with the goal to improve student success through the provision of supplemental food, nutritious meals, CalFresh USDA SNAP food benefit assistance, research-based education, emergency housing, emergency grants and referral services for students experiencing food insecurity, hunger, displacement, homelessness and poverty.  "
Chico State Bass Fishing Team,https://se-infra-imageserver2.azureedge.net/clink/images/fedf566b-92f3-493e-ba98-18c067059663246222fc-93f3-4bb4-87cd-2763f18c993e.png?preset=med-sq,Chico State Bass Fishing Team is a nationally ranked competitive fishing team that travels to fishing tournaments across the country to compete against other ranked schools.
Chico State Democratic Club,https://se-infra-imageserver2.azureedge.net/clink/images/af4fa25e-4ba2-4fdb-9812-eafa3d42b0186dccb6db-882c-4b1d-85f7-88977d002942.jpg?preset=med-sq,"The Chico State Democratic Club is dedicated to supporting Democratic efforts in the local community, the state, and the nation. We provide students with the resources to experience and become involved with the Democratic Party and other progressive organizations. our meetings are Wednesdays at 6 PM in Butte 221 - feel free to stop by!"
Chico State Men's Club Golf,https://se-infra-imageserver2.azureedge.net/clink/images/eedd7c8b-8acd-4a07-a980-c11561a5e249bfd9e65a-89f5-4d54-9f06-d5c8b8c82dbd.jpg?preset=med-sq,"If you are looking to continue playing competitive golf in a team atmosphere yet don't quite have the opportunity to play for the Men's Varsity team on campus, then you have come to the right place! We operate similar to the Varsity team by playing in 2 team events a semester in the Pacific region of the NCCGA (National Collegiate Club Golf Association). We compete with schools like Cal Berkeley, Stanford, Cal Poly, Santa Clara, and many more. Top finishers in this region have the chance to qualify for our national tournament in South Carolina! We have a dual partnership with Sunset Hills and Bidwell Park Golf Course that allows us daily access throughout the year, all at a majorly discounted rate. Email James Rogers, the Club President, at chicostateclubgolf@gmail.com if you are interested in playing this year!"
